,Hiragana,Katakana,Romaji,Row
1,わ,ワ,wa,a
2,を,ヲ,wo,o
3,ん,ン,n,u
4,ら,ラ,ra,a
5,り,リ,ri,i
6,る,ル,ru,u
7,れ,レ,re,e
8,ろ,ロ,ro,o
9,や,ヤ,ya,a
10,ゆ,ユ,yu,u
11,よ,ヨ,yo,o
12,ま,マ,ma,a
13,み,ミ,mi,i
14,む,ム,mu,u
15,め,メ,me,e
16,も,モ,mo,o
17,は,ハ,ha,a
18,ひ,ヒ,hi,i
19,ふ,フ,fu,u
20,へ,ヘ,he,e
21,ほ,ホ,ho,o
22,な,ナ,na,a
23,に,ニ,ni,i
24,ぬ,ヌ,nu,u
25,ね,ネ,ne,e
26,の,ノ,no,o
27,た,タ,ta,a
28,ち,チ,chi,i
29,つ,ツ,tsu,u
30,て,テ,te,e
31,と,ト,to,o
32,さ,サ,sa,a
33,し,シ,shi,i
34,す,ス,su,u
35,せ,セ,se,e
36,そ,ソ,so,o
37,か,カ,ka,a
38,き,キ,ki,i
39,く,ク,ku,u
40,け,ケ,ke,e
41,こ,コ,ko,o
42,あ,ア,a,a
43,い,イ,i,i
44,う,ウ,u,u
45,え,エ,e,e
46,お,オ,o,o